,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,profile
0,responsory,full,1.0,0.8828828828828829,1.0,1.0,1.0,0.8822498454449808,0.883029893887032,0.8828828828828829,pitch
1,responsory,full,1.0,0.8572783309625415,1.0,1.0,1.0,0.8567624968273535,0.8581508430605427,0.8572783309625415,pitch_class
2,responsory,full,0.8350264120276311,0.7999051683262209,0.8320791864484025,0.8336227521008954,0.8350264120276311,0.7958029255761944,0.7968573735608933,0.7999051683262209,repetition
3,responsory,subset,1.0,0.77882797731569,1.0,1.0,1.0,0.7754122076247006,0.7850966171846285,0.77882797731569,pitch
4,responsory,subset,1.0,0.7561436672967864,1.0,1.0,1.0,0.7499191537000138,0.7638771830540059,0.7561436672967864,pitch_class
5,responsory,subset,1.0,0.718336483931947,1.0,1.0,1.0,0.7095881278494691,0.7220007706013004,0.718336483931947,repetition
6,antiphon,full,0.9997939418916134,0.8966097619620101,0.9997939860586305,0.9997942621773636,0.9997939418916134,0.8957330807499652,0.8971553068534044,0.8966097619620101,pitch
7,antiphon,full,0.9997939418916134,0.886511180572253,0.9997939860586305,0.9997942621773636,0.9997939418916134,0.8854508222382158,0.8870418179329588,0.886511180572253,pitch_class
8,antiphon,full,0.8644137646816402,0.8432315460447223,0.8629989294542012,0.8652308604265636,0.8644137646816402,0.8405168750614204,0.8448927176472382,0.8432315460447223,repetition
9,antiphon,subset,0.8807969769838544,0.8477564102564102,0.8803376497486964,0.882001003036172,0.8807969769838544,0.8475157487918514,0.8505102349864774,0.8477564102564102,pitch
10,antiphon,subset,1.0,0.8389423076923077,1.0,1.0,1.0,0.8382027631159559,0.8396857477420446,0.8389423076923077,pitch_class
11,antiphon,subset,0.825833047062865,0.7788461538461539,0.8237749098605003,0.8284709896214767,0.825833047062865,0.7765423047229827,0.7814033009395602,0.7788461538461539,repetition
