,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,profile
0,responsory,full,1.0,0.8862019914651493,1.0,1.0,1.0,0.8856736781472546,0.88619918178094,0.8862019914651493,pitch
1,responsory,full,1.0,0.8553816974869607,1.0,1.0,1.0,0.8543003849389283,0.8547847152784858,0.8553816974869607,pitch_class
2,responsory,full,0.8327915481511581,0.7994310099573257,0.8289353156669351,0.830929223452647,0.8327915481511581,0.7950246787987598,0.798335697487601,0.7994310099573257,repetition
3,responsory,subset,0.8111831442463533,0.7731568998109641,0.810167234170519,0.8136171850541632,0.8111831442463533,0.7720423217630308,0.7868668407497336,0.7731568998109641,pitch
4,responsory,subset,1.0,0.7674858223062382,1.0,1.0,1.0,0.7661617401543451,0.7777637079649594,0.7674858223062382,pitch_class
5,responsory,subset,1.0,0.718336483931947,1.0,1.0,1.0,0.7104220657249636,0.7113816989575854,0.718336483931947,repetition
6,antiphon,full,1.0,0.8944457802356336,1.0,1.0,1.0,0.893702348692999,0.8951912459980396,0.8944457802356336,pitch
7,antiphon,full,1.0,0.8795383505650397,1.0,1.0,1.0,0.878350540999165,0.8806875606468783,0.8795383505650397,pitch_class
8,antiphon,full,0.8575108180506903,0.8408271219043039,0.8556574425678576,0.8585953895497412,0.8575108180506903,0.8388564370524757,0.8416568179727818,0.8408271219043039,repetition
9,antiphon,subset,1.0,0.8717948717948718,1.0,1.0,1.0,0.8715228467051799,0.87381444796165,0.8717948717948718,pitch
10,antiphon,subset,1.0,0.8597756410256411,1.0,1.0,1.0,0.8595357189506918,0.8618571114726103,0.8597756410256411,pitch_class
11,antiphon,subset,0.9993129508759876,0.8189102564102564,0.9993125486565254,0.9993147404490537,0.9993129508759876,0.817629087929825,0.8233790750272753,0.8189102564102564,repetition
